,seqname,gene_name,start,end,strand,gene_id
162032,chr1,WDR77,111439890,111449256,-,ENSG00000116455.14
162096,chr1,Y_RNA,111446798,111446908,+,ENSG00000199890.1
162099,chr1,ATP5PB,111448864,111462773,+,ENSG00000116459.11
162159,chr1,C1orf162,111473792,111478512,+,ENSG00000143110.12
162198,chr1,TMIGD3,111483348,111563962,-,ENSG00000121933.19
162265,chr1,RNU6-792P,111490317,111490423,-,ENSG00000200360.1
162268,chr1,ADORA3,111499429,111503633,-,ENSG00000282608.2
162293,chr1,RAP1A,111542218,111716691,+,ENSG00000116473.15
162369,chr1,LINC01160,111599655,111608723,-,ENSG00000231346.5
162386,chr1,KRT18P57,111648291,111649544,-,ENSG00000215867.4
162389,chr1,RNU6-151P,111650431,111650537,-,ENSG00000201028.1
162392,chr1,INKA2,111680630,111755824,-,ENSG00000197852.12
162427,chr1,INKA2-AS1,111739579,111747798,+,ENSG00000227811.3
162439,chr1,ENSG00000284830,111745299,111755537,-,ENSG00000284830.1
162449,chr1,DDX20,111754832,111775602,+,ENSG00000064703.13
162795,chr1,KCND3,111770662,111989668,-,ENSG00000171385.10
162855,chr1,KCND3-IT1,111853762,111856905,-,ENSG00000232558.1
162859,chr1,KCND3-AS1,111909336,111910931,+,ENSG00000237556.1
162873,chr1,LINC01750,111989770,111998842,+,ENSG00000231437.3
162883,chr1,LINC02884,112176836,112360625,-,ENSG00000231246.3
162913,chr1,TXNP3,112363281,112363581,+,ENSG00000234388.2
162916,chr1,ENSG00000238761,112371004,112371107,+,ENSG00000238761.1
162919,chr1,CTTNBP2NL,112396214,112463456,+,ENSG00000143079.15
162958,chr1,MIR4256,112461770,112461833,-,ENSG00000283296.1
162961,chr1,WNT2B,112466541,112530165,+,ENSG00000134245.18
163012,chr1,ENSG00000273483,112517799,112518441,-,ENSG00000273483.1
163015,chr1,ST7L,112523514,112620825,-,ENSG00000007341.19
163440,chr1,CAPZA1,112619805,112671616,+,ENSG00000116489.13
163497,chr1,MRPL53P1,112625906,112626224,-,ENSG00000235299.2
163500,chr1,RNU7-70P,112634719,112634784,-,ENSG00000252750.1
163503,chr1,MOV10,112673141,112700756,+,ENSG00000155363.19
164019,chr1,ENSG00000225075,112693688,112696621,-,ENSG00000225075.1
164024,chr1,RHOC,112701127,112707434,-,ENSG00000155366.17
164286,chr1,ENSG00000271810,112702614,112711433,-,ENSG00000271810.5
164348,chr1,PPM1J,112709994,112715332,-,ENSG00000155367.16
164444,chr1,PPM1J-DT,112715672,112717796,+,ENSG00000261595.1
164447,chr1,TAFA3,112718905,112727235,+,ENSG00000184599.14
164480,chr1,NUTF2P4,112748095,112748475,+,ENSG00000234790.1
164483,chr1,LINC01356,112820170,112850643,-,ENSG00000215866.9
164516,chr1,LINC01357,112849821,112877878,+,ENSG00000224167.3
164527,chr1,ENSG00000228040,112890767,112890922,-,ENSG00000228040.1
164530,chr1,SLC16A1,112911847,112957593,-,ENSG00000155380.13
164635,chr1,AKR7A2P1,112923423,112924337,+,ENSG00000229020.4
164638,chr1,SLC16A1-AS1,112956415,113047055,+,ENSG00000226419.8
164693,chr1,ENSG00000287807,112978610,112999636,-,ENSG00000287807.1
164697,chr1,LRIG2-DT,113011687,113073113,-,ENSG00000238198.2
164702,chr1,LRIG2,113073198,113132260,+,ENSG00000198799.12
164771,chr1,RLIMP2,113125321,113126883,-,ENSG00000237278.2
164774,chr1,ENSG00000233839,113168994,113169403,+,ENSG00000233839.1
164777,chr1,ENSG00000236887,113198825,113199258,+,ENSG00000236887.1
164780,chr1,MAGI3,113390515,113685923,+,ENSG00000081026.19
164980,chr1,ENSG00000232499,113449700,113450728,+,ENSG00000232499.2
164983,chr1,MTND5P20,113576757,113576899,-,ENSG00000238256.1
164986,chr1,PHTF1,113696831,113759489,-,ENSG00000116793.16
165246,chr1,ENSG00000232450,113698884,113699631,-,ENSG00000232450.1
165249,chr1,RSBN1,113761832,113812476,-,ENSG00000081019.14
165331,chr1,ENSG00000231128,113812379,113870159,+,ENSG00000231128.7
165352,chr1,PTPN22,113813811,113871753,-,ENSG00000134242.16
165668,chr1,AP4B1-AS1,113856635,113901237,+,ENSG00000226167.1
165675,chr1,BCL2L15,113876816,113887581,-,ENSG00000188761.13
165722,chr1,AP4B1,113894194,113905201,-,ENSG00000134262.13
165869,chr1,DCLRE1B,113904619,113914086,+,ENSG00000118655.8
165925,chr1,HIPK1-AS1,113924000,113929495,-,ENSG00000235527.7
165948,chr1,HIPK1,113929324,113977869,+,ENSG00000163349.22
166270,chr1,OLFML3,113979391,114035572,+,ENSG00000116774.12
166312,chr1,ENSG00000270780,114001433,114002235,-,ENSG00000270780.1
166316,chr1,ENSG00000282048,114032377,114034511,+,ENSG00000282048.2
166319,chr1,SYT6,114089291,114153880,-,ENSG00000134207.17
166488,chr1,ENSG00000232895,114206427,114262278,-,ENSG00000232895.2
166492,chr1,MRPL57P1,114279011,114279275,-,ENSG00000273698.1
166495,chr1,ENSG00000271419,114353986,114355178,+,ENSG00000271419.1
166499,chr1,TRIM33,114392790,114511203,-,ENSG00000197323.12
166636,chr1,ENSG00000226984,114459934,114460360,+,ENSG00000226984.1
166639,chr1,EIF2S2P5,114468315,114469282,+,ENSG00000225650.2
166642,chr1,Y_RNA,114490724,114490832,+,ENSG00000201114.1
166645,chr1,PKMP1,114535995,114537840,+,ENSG00000236480.1
166649,chr1,BCAS2,114567557,114581629,-,ENSG00000116752.6
166676,chr1,DENND2C,114582848,114670422,-,ENSG00000175984.15
166836,chr1,AMPD1,114673090,114695618,-,ENSG00000116748.22
166972,chr1,RN7SL432P,114697627,114697924,-,ENSG00000242769.3
166975,chr1,NRAS,114704469,114716771,-,ENSG00000213281.5
166995,chr1,CSDE1,114716913,114758676,-,ENSG00000009307.17
168732,chr1,RNY1P13,114727720,114727824,+,ENSG00000201900.1
168735,chr1,SIKE1,114769479,114780685,-,ENSG00000052723.12
168797,chr1,NR1H5P,114837227,114851453,+,ENSG00000227970.1
168806,chr1,SYCP1,114854863,114995370,+,ENSG00000198765.12
169172,chr1,TSHB,115029826,115034302,+,ENSG00000134200.4
169184,chr1,TSPAN2,115048011,115089503,-,ENSG00000134198.10
169247,chr1,LINC01765,115099580,115102686,+,ENSG00000233730.2
169251,chr1,ENSG00000285698,115270767,115283763,-,ENSG00000285698.1
169257,chr1,NGF-AS1,115283034,115368072,+,ENSG00000228035.1
169261,chr1,NGF,115285904,115338770,-,ENSG00000134259.6
169348,chr1,ENSG00000287103,115356664,115364897,-,ENSG00000287103.1
169353,chr1,ENSG00000226973,115471941,115476027,+,ENSG00000226973.1
169360,chr1,ENSG00000274468,115479428,115481572,+,ENSG00000274468.1
169364,chr1,ELOCP20,115556826,115557475,+,ENSG00000229101.1
169368,chr1,CNOT7P2,115564601,115565432,+,ENSG00000232185.1
169371,chr1,ENSG00000270631,115577229,115577786,-,ENSG00000270631.1
169374,chr1,RN7SL420P,115606471,115606768,+,ENSG00000239984.3
169377,chr1,ENSG00000207502,115621872,115622005,-,ENSG00000207502.1
169380,chr1,VANGL1,115641970,115698224,+,ENSG00000173218.15
169471,chr1,CASQ2,115700021,115768714,-,ENSG00000118729.12
169503,chr1,NHLH2,115836377,115843917,-,ENSG00000177551.5
169529,chr1,HNRNPA1P43,115856910,115857819,-,ENSG00000214204.4
169532,chr1,LINC01649,115904855,115931616,+,ENSG00000228127.3
169566,chr1,ENSG00000271143,115916497,115916699,+,ENSG00000271143.1
169569,chr1,SLC22A15,115976513,116070054,+,ENSG00000163393.13
169620,chr1,ENSG00000237993,116013813,116017705,-,ENSG00000237993.1
169625,chr1,MAB21L3,116111399,116138149,+,ENSG00000173212.5
169690,chr1,LINC01779,116164209,116167494,+,ENSG00000235933.2
169694,chr1,U3,116278606,116278821,+,ENSG00000221040.2
169697,chr1,ENSG00000287217,116289237,116297621,-,ENSG00000287217.1
169702,chr1,ATP1A1,116372668,116410261,+,ENSG00000163399.16
169914,chr1,ATP1A1-AS1,116378437,116421301,-,ENSG00000203865.13
169984,chr1,RNU6-817P,116413766,116413869,-,ENSG00000212385.1
169987,chr1,LINC01762,116423724,116478842,-,ENSG00000233154.6
170020,chr1,ENSG00000230381,116429049,116433368,-,ENSG00000230381.2
170024,chr1,Y_RNA,116452536,116452627,+,ENSG00000200547.1
170027,chr1,ENSG00000224950,116493016,116499212,-,ENSG00000224950.2
170031,chr1,ENSG00000286276,116493350,116502634,+,ENSG00000286276.1
170035,chr1,CD58,116514534,116571039,-,ENSG00000116815.16
170105,chr1,NAP1L4P1,116532936,116534092,-,ENSG00000177173.5
170108,chr1,MIR548AC,116560024,116560111,-,ENSG00000264419.1
170111,chr1,IGSF3,116574399,116667755,-,ENSG00000143061.18
170202,chr1,MIR320B1,116671749,116671827,+,ENSG00000211543.2
170205,chr1,LINC02868,116694112,116706603,+,ENSG00000203864.3
170211,chr1,GAPDHP64,116713833,116714835,-,ENSG00000231072.1
170214,chr1,NEFHP1,116739981,116742609,-,ENSG00000223489.1
170217,chr1,CD2,116754430,116769229,+,ENSG00000116824.5
170242,chr1,FTH1P22,116775104,116775623,-,ENSG00000225079.2
170245,chr1,ENSG00000272715,116909149,116909531,-,ENSG00000272715.1
170248,chr1,PTGFRN,116909916,116990353,+,ENSG00000134247.10
170278,chr1,RNA5SP55,116962347,116962471,-,ENSG00000252510.1
170281,chr1,CD101,117001750,117036552,+,ENSG00000134256.13
170362,chr1,CD101-AS1,117025482,117059490,-,ENSG00000236137.1
170371,chr1,TTF2,117060326,117107453,+,ENSG00000116830.12
170462,chr1,MIR942,117094643,117094728,+,ENSG00000215930.1
170465,chr1,TRIM45,117111060,117122587,-,ENSG00000134253.10
170539,chr1,RPS15AP9,117138229,117138609,+,ENSG00000228453.1
170542,chr1,VTCN1,117143587,117210960,-,ENSG00000134258.18
170618,chr1,Metazoa_SRP,117243212,117243508,-,ENSG00000277141.1
170621,chr1,LINC01525,117272182,117321336,+,ENSG00000235202.2
170634,chr1,ENSG00000271427,117364899,117365473,-,ENSG00000271427.1
170637,chr1,MAN1A2,117367449,117528872,+,ENSG00000198162.12
170716,chr1,ENSG00000279513,117493515,117495006,+,ENSG00000279513.1
170719,chr1,VPS25P1,117549415,117549922,+,ENSG00000226755.2
170722,chr1,TENT5C-DT,117596832,117605770,-,ENSG00000236866.5
170734,chr1,TENT5C,117606048,117628389,+,ENSG00000183508.5
170744,chr1,VDAC2P3,117640812,117641639,-,ENSG00000213262.3
170747,chr1,ENSG00000212266,117688621,117688742,-,ENSG00000212266.1
170750,chr1,ENSG00000270719,117700029,117700242,-,ENSG00000270719.1
170753,chr1,PNRC2P1,117778087,117778506,-,ENSG00000228217.1
170756,chr1,GDAP2,117863485,117929621,-,ENSG00000196505.11
170849,chr1,WDR3,117929720,117966543,+,ENSG00000065183.16
170947,chr1,SPAG17,117953590,118185228,-,ENSG00000155761.14
171144,chr1,ENSG00000287980,118185349,118207051,+,ENSG00000287980.1
171149,chr1,RNA5SP56,118264372,118264489,-,ENSG00000222209.1
171152,chr1,PSMC1P12,118614333,118615646,-,ENSG00000226126.2
171155,chr1,ENSG00000229911,118712999,118713678,+,ENSG00000229911.2
171158,chr1,TBX15,118883046,118989556,-,ENSG00000092607.15
171212,chr1,ENSG00000226172,119000344,119001392,-,ENSG00000226172.2
171216,chr1,ENSG00000239216,119000618,119001405,-,ENSG00000239216.1
171220,chr1,WARS2,119031216,119140654,-,ENSG00000116874.12
171270,chr1,WARS2-IT1,119047405,119064785,+,ENSG00000224238.2
171274,chr1,RBMX2P3,119084998,119085954,-,ENSG00000223575.2
171277,chr1,RPS3AP12,119126539,119127291,-,ENSG00000236804.1
171280,chr1,WARS2-AS1,119140391,119275973,+,ENSG00000231365.7
171336,chr1,RPL6P2,119219314,119220096,-,ENSG00000227056.2
171339,chr1,ENSG00000227712,119230313,119327915,-,ENSG00000227712.3
171359,chr1,LINC01780,119327399,119356182,+,ENSG00000232650.6
171369,chr1,RNU1-75P,119331397,119331525,-,ENSG00000194297.2
171372,chr1,HAO2,119368779,119394130,+,ENSG00000116882.15
171456,chr1,HAO2-IT1,119368946,119370331,+,ENSG00000230921.1
171460,chr1,HSD3B2,119414931,119423035,+,ENSG00000203859.10
171511,chr1,GAPDHP74,119434166,119435080,-,ENSG00000232780.2
171516,chr1,HSD3BP2,119439001,119446086,+,ENSG00000203858.3
171521,chr1,GAPDHP23,119462029,119463021,-,ENSG00000235595.1
171524,chr1,HSD3BP1,119467221,119473803,+,ENSG00000187481.2
171529,chr1,GAPDHP58,119495836,119496841,-,ENSG00000229570.2
171532,chr1,HSD3B1,119507198,119515054,+,ENSG00000203857.10
171573,chr1,GAPDHP32,119533749,119534746,-,ENSG00000226443.3
171576,chr1,HSD3BP3,119538509,119545913,+,ENSG00000249798.1
171581,chr1,GAPDHP27,119558755,119559774,-,ENSG00000239873.2
171584,chr1,HSD3BP4,119564066,119572067,+,ENSG00000203855.7
171589,chr1,GAPDHP33,119596167,119597179,-,ENSG00000240244.3
171592,chr1,LINC00622,119597702,119599271,-,ENSG00000260941.1
171595,chr1,HSD3BP5,119601340,119609250,+,ENSG00000198857.3
171600,chr1,ZNF697,119619377,119648266,-,ENSG00000143067.5
171612,chr1,PHGDH,119648411,119744218,+,ENSG00000092621.13
172201,chr1,HMGCS2,119748002,119768905,-,ENSG00000134240.12
172259,chr1,REG4,119794017,119811580,-,ENSG00000134193.15
172320,chr1,NBPF7P,119834870,119844514,-,ENSG00000215864.6
172331,chr1,PFN1P9,119853316,119853748,+,ENSG00000227205.4
172334,chr1,NOTCH2P1,119886304,119886927,+,ENSG00000226446.1
172337,chr1,ADAM30,119893533,119896515,-,ENSG00000134249.7
172345,chr1,NOTCH2,119911553,120100779,-,ENSG00000134250.21
172520,chr1,ENSG00000273406,120076616,120077091,+,ENSG00000273406.1
172523,chr1,RNU6-465P,120126974,120127074,+,ENSG00000207149.1
172526,chr1,SEC22B,120150898,120176520,-,ENSG00000265808.4
172549,chr1,ENSG00000274642,120197085,120319680,+,ENSG00000274642.1
172557,chr1,7SK,120228046,120228295,-,ENSG00000277313.1
172560,chr1,ENSG00000223804,120267334,120341871,-,ENSG00000223804.5
172576,chr1,U1,120354987,120355148,+,ENSG00000273727.1
172579,chr1,NBPF8,120415035,120469676,+,ENSG00000270231.5
172661,chr1,PFN1P2,120432204,120434052,-,ENSG00000270392.2
172666,chr1,PDE4DIPP2,120489860,120701289,-,ENSG00000275131.3
172730,chr1,U2,120571120,120571264,+,ENSG00000273694.1
172733,chr1,7SK,120670127,120670376,+,ENSG00000275933.1
172736,chr1,NOTCH2NLR,120723912,120794851,+,ENSG00000286106.3
172765,chr1,NBPF26,120723949,120842110,+,ENSG00000273136.8
173155,chr1,ENSG00000287979,120849674,120850985,-,ENSG00000287979.1
173158,chr1,RNVU1-19,120850819,120850985,-,ENSG00000275538.1
173161,chr1,PPIAL4A,120889771,120890530,+,ENSG00000263353.4
173169,chr1,ENSG00000281741,120913151,120914238,-,ENSG00000281741.2
173174,chr1,LINC00623,120913184,121009291,+,ENSG00000226067.7
173198,chr1,RNVU1-4,120942600,120942763,+,ENSG00000277610.1
173201,chr1,ENSG00000285215,120963645,120977585,+,ENSG00000285215.2
173216,chr1,PDE4DIPP4,120985692,121052167,-,ENSG00000275585.2
173227,chr1,U1,121008362,121008507,-,ENSG00000273516.1
173230,chr1,ENSG00000275296,121058948,121059353,-,ENSG00000275296.1
173233,chr1,FCGR1BP,121087298,121097161,+,ENSG00000198019.14
173364,chr1,ENSG00000234998,121087528,121116676,-,ENSG00000234998.1
173368,chr1,ENSG00000233029,121090289,121097655,-,ENSG00000233029.3
173372,chr1,H2BP1,121107171,121117294,-,ENSG00000223345.5
173378,chr1,ENSG00000227193,121118126,121146826,+,ENSG00000227193.2
173384,chr1,H3P4,121118195,121118610,-,ENSG00000213244.3
173387,chr1,RPL22P6,121142051,121142438,-,ENSG00000268993.1
173390,chr1,FAM72B,121167646,121185539,-,ENSG00000188610.12
173463,chr1,SRGAP2C,121184811,121392874,+,ENSG00000171943.12
173517,chr1,ENSG00000275129,121314947,121315055,-,ENSG00000275129.1
173520,chr1,SRGAP2-AS1,121360156,121398806,-,ENSG00000230806.1
173530,chr1,LINC02798,121396754,121463508,+,ENSG00000227082.3
173555,chr1,ENSG00000228826,121494329,121511588,-,ENSG00000228826.3
173566,chr1,MTIF2P1,121502344,121503891,+,ENSG00000233432.2
173569,chr1,ENSG00000272583,121518365,121519601,-,ENSG00000272583.2
173572,chr1,EMBP1,121519103,121575702,+,ENSG00000231752.8
173626,chr1,LINC01691,121573946,121580524,-,ENSG00000224857.1
173630,chr1,ENSG00000276118,143343180,143343275,+,ENSG00000276118.1
173633,chr1,ENSG00000277095,143354191,143386122,+,ENSG00000277095.1
173640,chr1,ENSG00000277702,143419625,143420207,-,ENSG00000277702.1
173644,chr1,RNA5SP533,143439605,143439714,+,ENSG00000252830.2
173647,chr1,ENSG00000264145,143449571,143450245,-,ENSG00000264145.2
173650,chr1,KMT2CP3,143461221,143498767,-,ENSG00000274927.1
173662,chr1,NKAIN1P1,143487772,143488353,+,ENSG00000242943.1
173665,chr1,ENSG00000223495,143498785,143499102,+,ENSG00000223495.2
173668,chr1,LINC02799,143499187,143500512,-,ENSG00000235887.2
173673,chr1,ENSG00000203825,143541768,143572834,+,ENSG00000203825.4
173692,chr1,NBPF17P,143595216,143635641,-,ENSG00000179571.10
173710,chr1,PFN1P12,143619994,143620527,+,ENSG00000226028.2
173713,chr1,RNU1-114P,143652050,143652215,-,ENSG00000202167.1
173716,chr1,RNVU1-17,143699456,143699619,-,ENSG00000207349.1
173719,chr1,RNVU1-23,143720510,143720644,-,ENSG00000252826.1
173722,chr1,RNVU1-18,143729407,143729570,-,ENSG00000206737.1
173725,chr1,ENSG00000232721,143735983,143739506,+,ENSG00000232721.3
173732,chr1,ENSG00000223779,143745249,143760669,+,ENSG00000223779.6
173740,chr1,FAM91A3P,143766540,143769083,+,ENSG00000242352.2
173743,chr1,ENSG00000270962,143784376,143784671,+,ENSG00000270962.1
173746,chr1,LINC02591,143790010,143797108,+,ENSG00000263590.2
173750,chr1,RNU1-143P,143791542,143791687,-,ENSG00000252105.1
173753,chr1,PDE4DIPP3,143811359,143825837,-,ENSG00000233430.3
173761,chr1,ENSG00000237503,143846097,143846504,-,ENSG00000237503.2
173764,chr1,FCGR1CP,143874793,143883575,+,ENSG00000265531.3
173772,chr1,H2BP2,143875171,143904650,-,ENSG00000234571.2
173784,chr1,H3-7,143894544,143905977,-,ENSG00000273213.4
173809,chr1,ENSG00000230186,143905487,143934776,+,ENSG00000230186.3
173815,chr1,RPL22P5,143929994,143930382,-,ENSG00000268074.1
173818,chr1,FAM72C,143955287,143971986,-,ENSG00000263513.6
173843,chr1,ENSG00000289318,143972669,143975076,+,ENSG00000289318.2
173850,chr1,SRGAP2D,143975087,144068350,+,ENSG00000270872.2
173859,chr1,IGKV1OR1-1,144085628,144086098,+,ENSG00000276674.1
173863,chr1,ENSG00000275075,144168752,144168850,+,ENSG00000275075.1
173866,chr1,ENSG00000275767,144179777,144211729,+,ENSG00000275767.1
173875,chr1,LINC02802,144227029,144250326,-,ENSG00000232527.8
173890,chr1,RNA5SP529,144265217,144265326,+,ENSG00000276442.1
173893,chr1,DRD5P2,144274892,144277993,-,ENSG00000175658.4
173897,chr1,KMT2CP2,144276484,144305180,-,ENSG00000276756.4
173919,chr1,PPIAL4E,144372875,144373634,-,ENSG00000271567.2
173927,chr1,ENSG00000271439,144401069,144401355,-,ENSG00000271439.1
173930,chr1,RNVU1-15,144412576,144412740,+,ENSG00000207205.1
173933,chr1,ENSG00000237343,144418113,144419192,-,ENSG00000237343.1
173937,chr1,ENSG00000233586,144418678,144419190,+,ENSG00000233586.1
173940,chr1,NBPF15,144421390,144461676,-,ENSG00000266338.7
174196,chr1,PFN1P6,144442606,144443004,+,ENSG00000227212.3
174199,chr1,ENSG00000229002,144472535,144474790,-,ENSG00000229002.1
174203,chr1,RNVU1-26,144523860,144524021,-,ENSG00000275291.1
174206,chr1,ENSG00000290121,144545892,144546786,-,ENSG00000290121.1
174209,chr1,RNVU1-2A,144551779,144551943,-,ENSG00000278099.1
174212,chr1,RNVU1-28,144560666,144560829,-,ENSG00000277918.1
174215,chr1,PPIAL4F,144592893,144593652,+,ENSG00000279782.3
174223,chr1,LINC01632,144627192,144642372,-,ENSG00000277199.1
174234,chr1,ENSG00000224363,144641371,144919902,+,ENSG00000224363.2
174240,chr1,KMT2CP1,144661200,144679513,+,ENSG00000278273.1
174251,chr1,RNA5SP59,144701050,144701159,-,ENSG00000222854.1
174254,chr1,LSP1P5,144716025,144758298,+,ENSG00000288905.2
174273,chr1,ENSG00000273825,144754572,144786606,-,ENSG00000273825.1
174280,chr1,ENSG00000287607,144797534,144797632,-,ENSG00000287607.1
174283,chr1,SRGAP2B,144887265,145095528,-,ENSG00000196369.12
174383,chr1,ENSG00000271644,144965025,144965135,+,ENSG00000271644.1
174386,chr1,FAM72D,145095974,145112696,+,ENSG00000215784.6
174400,chr1,ENSG00000283752,145139986,145148375,+,ENSG00000283752.1
174407,chr1,LINC01145,145164099,145216058,-,ENSG00000272419.6
174442,chr1,RNU1-153P,145169519,145169664,+,ENSG00000277678.1
174445,chr1,ENSG00000281571,145214851,145215938,+,ENSG00000281571.2
174450,chr1,ENSG00000223612,145233001,145233519,+,ENSG00000223612.3
174453,chr1,PPIAL4D,145241415,145242174,-,ENSG00000289549.1
174461,chr1,ENSG00000271291,145269604,145269890,-,ENSG00000271291.1
174464,chr1,RNVU1-14,145281116,145281279,+,ENSG00000207501.1
174467,chr1,ENSG00000276216,145281116,145281462,+,ENSG00000276216.1
174470,chr1,ENSG00000236140,145286610,145287755,-,ENSG00000236140.1
174474,chr1,NBPF20,145289900,145425603,-,ENSG00000162825.18
175047,chr1,PFN1P3,145407772,145408173,+,ENSG00000234367.1
175050,chr1,RNU1-154P,145431527,145431693,-,ENSG00000270384.1
175053,chr1,ENSG00000286620,145459798,145462007,+,ENSG00000286620.1
175056,chr1,RNVU1-31,145465617,145465780,-,ENSG00000270722.1
175059,chr1,ENSG00000287374,145475606,145480999,+,ENSG00000287374.1
175063,chr1,ENSG00000278182,145507444,145508607,+,ENSG00000278182.1
175067,chr1,PDE4DIPP5,145509047,145520594,+,ENSG00000275064.1
175078,chr1,NBPF25P,145572345,145607858,-,ENSG00000272150.5
175116,chr1,GPR89A,145607988,145670650,+,ENSG00000117262.19
175346,chr1,PDZK1,145670852,145708148,-,ENSG00000174827.14
175444,chr1,CD160,145719471,145739288,+,ENSG00000117281.16
175506,chr1,RNF115,145738868,145824095,-,ENSG00000265491.5
175537,chr1,POLR3C,145824053,145844402,+,ENSG00000186141.10
175934,chr1,NUDT17,145845630,145848954,+,ENSG00000186364.12
175979,chr1,PIAS3,145848522,145859836,-,ENSG00000131788.16
176105,chr1,MIR6736,145850587,145850645,-,ENSG00000278549.1
176108,chr1,ANKRD35,145866560,145885866,-,ENSG00000198483.13
176171,chr1,ITGA10,145891208,145910111,-,ENSG00000143127.13
176302,chr1,ENSG00000244619,145892847,145893483,+,ENSG00000244619.2
176306,chr1,PEX11B,145911350,145918717,-,ENSG00000131779.11
176340,chr1,ENSG00000289565,145917714,145926741,-,ENSG00000289565.1
176372,chr1,GNRHR2,145919013,145925341,+,ENSG00000211451.13
176395,chr1,RBM8A,145921556,145927678,-,ENSG00000265241.8
176488,chr1,LIX1L-AS1,145926590,145959179,+,ENSG00000234222.6
176567,chr1,ENSG00000280778,145927258,145977811,+,ENSG00000280778.1
176586,chr1,LIX1L,145933423,145958017,-,ENSG00000271601.4
176604,chr1,ANKRD34A,145959441,145964575,-,ENSG00000272031.3
176634,chr1,ENSG00000278431,145961388,145964422,+,ENSG00000278431.1
176638,chr1,POLR3GL,145964690,145978848,+,ENSG00000121851.13
176689,chr1,TXNIP,145992435,145996579,-,ENSG00000265972.6
176737,chr1,HJV,146017468,146036746,-,ENSG00000168509.20
176815,chr1,ENSG00000287190,146050441,146052244,-,ENSG00000287190.1
176818,chr1,RNVU1-6,146052081,146052244,-,ENSG00000201558.1
176821,chr1,LINC01719,146052566,146061952,+,ENSG00000233396.9
176861,chr1,NBPF10,146064711,146229000,-,ENSG00000271425.9
177279,chr1,NOTCH2NLA,146146203,146229041,-,ENSG00000264343.7
177404,chr1,ENSG00000276509,146235806,146237807,+,ENSG00000276509.1
177407,chr1,RNU6-1071P,146288596,146288696,+,ENSG00000201789.1
177410,chr1,NUDT4P2,146298170,146298715,+,ENSG00000271121.2
177413,chr1,SEC22B4P,146321214,146401647,-,ENSG00000277406.2
177424,chr1,PPIAL4H,146344006,146344765,-,ENSG00000270339.4
177432,chr1,RNVU1-29,146376807,146376970,+,ENSG00000273768.1
177435,chr1,ENSG00000287978,146387202,146388092,+,ENSG00000287978.1
177439,chr1,RNVU1-25,146409903,146410062,+,ENSG00000274428.1
177442,chr1,ENSG00000277655,146459449,146461859,+,ENSG00000277655.1
177446,chr1,HYDIN2,146472566,146914294,+,ENSG00000276975.3
177575,chr1,ENSG00000289321,146486650,146487965,+,ENSG00000289321.1
177578,chr1,RNA5SP536,146539541,146539663,-,ENSG00000274408.1
177581,chr1,ENSG00000274450,146862729,146862845,-,ENSG00000274450.1
177584,chr1,NBPF12,146938324,146996202,+,ENSG00000268043.9
177794,chr1,PFN1P8,146957117,146957659,-,ENSG00000244371.2
177797,chr1,ENSG00000234225,147001931,147003618,-,ENSG00000234225.2
177806,chr1,ENSG00000227242,147019656,147056593,-,ENSG00000227242.4
177823,chr1,ENSG00000225603,147050817,147052481,+,ENSG00000225603.3
177826,chr1,RNU1-151P,147079746,147079870,+,ENSG00000201142.1
177829,chr1,SSBL4P,147082338,147083578,-,ENSG00000230832.3
177832,chr1,RNVU1-8,147084616,147084756,-,ENSG00000286172.1
177835,chr1,NBPF13P,147099482,147124285,-,ENSG00000283342.1
177850,chr1,PRKAB2,147155106,147172550,-,ENSG00000131791.8
177883,chr1,PDIA3P1,147172744,147179622,+,ENSG00000180867.11
177893,chr1,ENSG00000237188,147172755,147295734,+,ENSG00000237188.5
177940,chr1,FMO5,147175351,147243050,-,ENSG00000131781.13
178085,chr1,CCT8P1,147203276,147204932,-,ENSG00000226015.2
178088,chr1,RPL7AP15,147223554,147224348,+,ENSG00000236806.1
178091,chr1,CHD1L,147242654,147295765,+,ENSG00000131778.20
179485,chr1,LINC00624,147258885,147517875,-,ENSG00000278811.4
179498,chr1,ENSG00000213226,147319110,147320224,+,ENSG00000213226.4
179502,chr1,OR13Z1P,147419053,147419900,+,ENSG00000226653.3
179505,chr1,Y_RNA,147420199,147420300,-,ENSG00000207209.1
179508,chr1,OR13Z2P,147445579,147446133,+,ENSG00000272443.1
179511,chr1,OR13Z3P,147482238,147482628,+,ENSG00000272480.1
179514,chr1,BCL9,147541501,147626216,+,ENSG00000116128.12
179591,chr1,ENSG00000289419,147608331,147610187,+,ENSG00000289419.1
179594,chr1,ENSG00000288626,147611590,147611796,+,ENSG00000288626.1
179601,chr1,ACP6,147629652,147670524,-,ENSG00000162836.12
179742,chr1,RN7SL261P,147689256,147689537,+,ENSG00000277762.1
179745,chr1,ENSG00000227139,147697794,147699335,+,ENSG00000227139.1
179749,chr1,GJA5,147756199,147773362,-,ENSG00000265107.3
179775,chr1,ENSG00000274415,147757185,147758434,+,ENSG00000274415.1
179782,chr1,ENSG00000234190,147777590,147788953,+,ENSG00000234190.1
179786,chr1,ENSG00000223728,147840962,147842359,+,ENSG00000223728.3
179789,chr1,GJA8,147902795,147909269,+,ENSG00000121634.6
179799,chr1,GPR89B,147928393,147993592,+,ENSG00000188092.15
